ESTUDIANTE,promediohistorico,promedioasistencia,# de Semestre,Desertor
Estudiante 1,0.0,0.0,1,1
Estudiante 10,9.17625,99.0625,2,0
Estudiante 100,8.154347826086957,89.21739130434783,4,0
Estudiante 101,0.0,0.0,1,1
Estudiante 102,7.43,90.0,1,1
Estudiante 103,9.0,97.0,1,1
Estudiante 104,0.0,0.0,1,1
Estudiante 105,0.0,0.0,1,1
Estudiante 106,8.13,96.0,1,0
Estudiante 107,8.953181818181818,97.9090909090909,3,0
Estudiante 108,9.183181818181819,98.45454545454545,4,0
Estudiante 109,7.940476190476191,91.42857142857143,3,0
Estudiante 11,8.749333333333334,99.2,2,0
Estudiante 110,9.0215,97.35,3,0
Estudiante 111,8.016190476190477,98.66666666666667,3,0
Estudiante 112,9.394545454545455,97.81818181818181,4,0
Estudiante 113,7.2368421052631575,87.89473684210526,3,1
Estudiante 114,4.617142857142857,52.857142857142854,2,1
Estudiante 115,8.005263157894737,97.6842105263158,3,0
Estudiante 116,7.6625000000000005,90.0,4,0
Estudiante 117,9.006363636363638,99.0909090909091,4,0
Estudiante 118,8.198636363636364,97.27272727272727,4,0
Estudiante 119,8.991818181818182,94.81818181818181,3,0
Estudiante 12,8.718666666666667,99.0,2,0
Estudiante 120,8.098928571428571,96.89285714285714,4,0
Estudiante 121,8.861818181818181,97.4090909090909,4,0
Estudiante 122,4.8221428571428575,55.357142857142854,2,1
Estudiante 123,7.773684210526315,87.57894736842105,3,0
Estudiante 124,8.445238095238095,98.57142857142857,3,0
Estudiante 125,8.803809523809523,99.71428571428571,4,0
Estudiante 126,4.552857142857143,47.214285714285715,2,1
Estudiante 127,8.621363636363636,98.45454545454545,4,0
Estudiante 128,8.951304347826087,99.26086956521739,3,0
Estudiante 129,9.14090909090909,99.31818181818181,3,0
Estudiante 13,8.851176470588236,98.29411764705883,3,0
Estudiante 130,8.352272727272727,99.27272727272727,4,0
Estudiante 131,9.39391304347826,99.73913043478261,4,0
Estudiante 132,9.027391304347827,99.3913043478261,3,0
Estudiante 133,8.602727272727272,98.72727272727273,3,0
Estudiante 134,8.323448275862068,90.86206896551724,4,0
Estudiante 135,9.289545454545454,97.68181818181819,3,0
Estudiante 136,4.576666666666667,55.75,2,1
Estudiante 137,9.35909090909091,96.54545454545455,4,0
Estudiante 138,9.04294117647059,97.70588235294117,3,0
Estudiante 139,8.347,96.75,4,0
Estudiante 14,0.0,0.0,1,1
Estudiante 140,8.515238095238095,99.04761904761905,3,0
Estudiante 141,9.166521739130435,99.73913043478261,4,0
Estudiante 142,9.59608695652174,99.47826086956522,4,0
Estudiante 143,8.689047619047619,96.42857142857143,3,0
Estudiante 144,9.84590909090909,99.5,3,0
Estudiante 145,8.814,95.85,3,0
Estudiante 146,9.505238095238095,99.0952380952381,3,0
Estudiante 147,8.789047619047619,98.33333333333333,3,0
Estudiante 148,8.928,97.75,3,0
Estudiante 149,9.224,99.5,3,0
Estudiante 15,8.895714285714286,98.92857142857143,2,0
Estudiante 150,7.064285714285715,78.0,4,0
Estudiante 151,9.7985,98.6,3,0
Estudiante 152,9.444583333333332,96.875,4,0
Estudiante 153,8.644814814814815,98.14814814814815,4,0
Estudiante 154,5.476538461538461,58.38461538461539,4,1
Estudiante 155,8.247222222222222,95.22222222222223,3,0
Estudiante 156,5.88421052631579,70.94736842105263,2,0
Estudiante 157,8.05103448275862,94.37931034482759,4,0
Estudiante 158,8.120384615384616,94.26923076923077,4,0
Estudiante 159,8.100416666666666,96.79166666666667,4,0
Estudiante 16,7.758666666666667,87.86666666666666,2,0
Estudiante 160,6.6825,77.5625,2,0
Estudiante 161,8.214,98.8,4,0
Estudiante 162,7.684375,89.75,3,0
Estudiante 163,7.325,94.5,2,1
Estudiante 164,8.18,96.0,2,1
Estudiante 165,7.87,96.0,2,1
Estudiante 166,2.61,62.0,2,1
Estudiante 167,7.96,81.0,2,1
Estudiante 168,0.0,0.0,2,1
Estudiante 169,8.16,96.0,2,1
Estudiante 17,9.164285714285715,97.78571428571429,2,0
